Request page,,,,,,,,,
(Inthis page only show the pending deposit request list),,,,,,,,,
Deposit (3),Withdraw (2),,,,,,,,
,,,,,,,,,
SL Number,Transection ID,Date & Time,User Name & ID,Channel,Account,Amount,Action,,
3,1234567890123,14/08/2023 10:05:31,abcdef 123456,Crypto,Tkvh.................kjl3,$150 ,[Update],(After update the status this  table information will move to the deposit list page.),
2,1234567890123,14/08/2023 10:05:31,abcdef 123456,Bank,123...................000,$100 ,[Update],,
1,1234567890123,14/08/2023 10:05:31,abcdef 123456,Crypto,Tkvh.................kjl3,$200 ,[Update],,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,Balance :,,$300 ,,,,,
,,Transection ID : ,,1234567890123,,,,,
,,Date & Time : ,,14/08/2023 10:05:31,,,,,
,,User Name & ID : ,,abcdef (123456),,,,,
,,Register Date : ,,12/8/2023,,,,,
,,Country :,,USA,,,,,
,,Referral User Name :,,John,,,,,
,,Channel :,,Crypto,,,,,
,,Payment Method :,,TRC20,,,,,
,,Account : ,,Tkvh.................kjl3,,,,,
,,Amount : ,,$150 ,,,,,
,,Receivable Amount :,,$149 ,(this is the input field),,,,
,,,,,,,,,
,,,,,,,,,
,,Close,,Update,,,,,
,,,,,Rejected,Please write the purpose of rejection.,,,Optional.
,,,,,Approved,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,Confirm,,Close,,
